===========
Pinginfo data to import into PingInfoView. PingInfoView is available here:

https://www.nirsoft.net/utils/multiple_ping_tool.html

Use PingInfoView to verify hosts pre/post cutover
===========

Device Name: Lab_3850

172.31.99.131, 04db.56ed.ad58
192.168.10.145, Aruba-325
192.168.10.182, Cam-Hikvision
192.168.10.52, 2920-Garage
192.168.10.188, Cam-Camper
192.168.10.194, Cam-Garage-North-inside
192.168.10.193, Cam-Garage-Safe
192.168.10.185, Cam-Front-Porch
192.168.10.179, Wisenet
192.168.10.127, EdSnowdensMBP4
192.168.10.50, Ubiquiti-office
192.168.10.51, Ubiquiti-garage
192.168.10.180, Cam-Garage-Right
192.168.1.100, 5254.00a7.cec6
192.168.10.254, Fortigate-60D
192.168.10.13, Chamberlain-My-Q
192.168.10.139, nvr
192.168.10.235, e411.5b96.9f23
192.168.10.141, haas
192.168.10.151, legacy-ssh
192.168.10.150, 1S1K-G5
192.168.10.105, 009d.6ba0.4528
192.168.10.143, 1S1K-G5-5587
192.168.10.113, MacBookAir
192.168.10.142, Troys-iPad
192.168.10.124, Vizio-Family-room
192.168.10.108, espressif
192.168.10.122, haas
192.168.10.144, aruba-515
172.31.99.211, a430.7a89.75e4
192.168.10.138, ace0.10ee.5802
192.168.10.148, 1S1K-Air
192.168.10.136, 1S1K-iPhone
192.168.10.133, iPhone
192.168.10.107, HALO-GAUX-BB
192.168.10.144, aruba-515
192.168.10.144, aruba-515
192.168.10.144, aruba-515
192.168.10.144, aruba-515
192.168.10.144, aruba-515
192.168.10.222, RANDC02
192.168.10.223, ubuntu-server
192.168.10.252, nuc/esxi
